OCLC #,Title,Author,Language,Item type,Publication,Publisher,Year,Database,Notes,Added date
34682375,A schoolhouse with no foundation,Alex Griswold; Chantal L  A Fujiwara; Lisa Freidman; Jose Rivera; Mary Ann Nelson; Jean Huff; Audrey Sturgis; Jay Chandler; Philip Scott; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Education Dept.; Massachusetts Corporation for Educational Telecommunications.; Mass LearnPike.; Annenberg/CPB Math and Science Project.; Private Universe Project.;,English,video_vhs,,"[Cambridge, Mass.] : President and Fellows of Harvard College",1995.0,,,2012-08-24 07:14
31406833,Eliciting student ideas,Matthew H Schneps; Ara Sahiner; Alex Griswold; Chantal L  A Fujiwara; Lisa Freidman; Trish Stoddart; Sam Palmer; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Education Dept.; Massachusetts Corporation for Educational Telecommunications.; Mass LearnPike.; Annenberg/CPB Math and Science Project.; Private Universe Project.;,English,video_vhs,,"[Cambridge, Mass.] : President and Fellows of Harvard College",1995.0,,,2012-08-24 07:14
62503406,MouseLab,Melodie Hicks; Matthew H Schneps; Alex Griswold; Steven Allardi; Harvard-Smithsonian Center for Astrophysics.;,English,video_vhs,,"Harvard-Smithsonian Center for Astrophysics] , [Cambridge, Mass",1995.0,,,2012-08-24 07:14
31452978,Hands-on/minds-on learning,Matthew H Schneps; Ara Sahiner; Alex Griswold; Chantal L  A Fujiwara; Lisa Freidman; Jose Rivera; Richard Konicek; James Carter; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Education Dept.; Massachusetts Corporation for Educational Telecommunications.; Mass LearnPike.; Annenberg/CPB Math and Science Project.; Private Universe Project.;,English,video_vhs,,"[Cambridge, Mass.] : President and Fellows of Harvard College",1995.0,,,2012-08-24 07:14
49544395,Looking at learning ... again 2,Veda C Reilley; Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB Project.;,English,video_vhs,,"S. Burlington, VT : Annenberg/CPB Math and Science Project",2000.0,,,2012-08-24 07:14
34682122,Why are some ideas so difficult?,Alex Griswold; Chantal L  A Fujiwara; Lisa Freidman; Kathleen M Fisher; Bob Holden; Joseph Donald Novak; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Education Dept.; Massachusetts Corporation for Educational Telecommunications.; Mass LearnPike.; Annenberg/CPB Math and Science Project.; Private Universe Project.;,English,video_vhs,,"[Cambridge, Mass.] : President and Fellows of Harvard College",1995.0,,,2012-08-24 07:14
768428250,SMA newsletter,Smithsonian Astrophysical Observatory.; Zhong yang yan jiu yuan. Institute of Astronomy and Astrophysics.;,English,jrnl_digital,,"Cambridge, Mass. : Harvard-Smithsonian Center for Astrophysics",,,,2012-08-24 07:14
31453167,A House with no foundation,Matthew H Schneps; Ara Sahiner; Alex Griswold; Chantal L  A Fujiwara; Lisa Freidman; Jose Rivera; Mary Ann Nelson; Jean Huff; Audrey Sturgis; Jay Chandler; Philip Scott; Nancy Finkelstein; Harvard-Smithsonian Center for Astrophysics. Science Education Dept.; Massachusetts Corporation for Educational Telecommunications.; Mass LearnPike.; Annenberg/CPB Math and Science Project.; Private Universe Project.;,English,video_vhs,,"[Cambridge, Mass.] : President and Fellows of Harvard College",1995.0,,,2012-08-24 07:14
160007508,Patterns and functions : what comes next?,Andee Rubin; Harvard-Smithsonian Center for Astrophysics.; Massachusetts Corporation for Educational Telecommunications.; Annenberg/CPB.;,English,video_digital,,"S. Burlington, Vt. : Annenberg/CPB",1997.0,,,2012-08-24 07:14
160007673,Ratio and proportion : when is a third more than a half?,Miriam A Leiva; Harvard-Smithsonian Center for Astrophysics.; Massachusetts Corporation for Educational Telecommunications.; Annenberg/CPB.;,English,video_digital,,"S. Burlington, Vt. : Annenberg/CPB",1997.0,,,2012-08-24 07:14
160007592,More geometry : quilts and palaces,Miriam A Leiva; Harvard-Smithsonian Center for Astrophysics.; Massachusetts Corporation for Educational Telecommunications.; Annenberg/CPB.;,English,video_digital,,"S. Burlington, Vt. : Annenberg/CPB",1997.0,,,2012-08-24 07:14
160005941,Intellectual development,Eleanor Ruth Duckworth; Harvard Smithsonian Center for Astrophysics.; Annenberg/CPB.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",1999.0,,,2012-08-24 07:14
160007634,Whole numbers : memory and discovery,Tim Erickson; Harvard-Smithsonian Center for Astrophysics.; Massachusetts Corporation for Educational Telecommunications.; Annenberg/CPB.;,English,video_digital,,"S. Burlington, Vt. : Annenberg/CPB",1997.0,,,2012-08-24 07:14
46768336,Surprises in mind,Paul Stern; Joseph Blatt; Jill Connolly; Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB.; River Run Media (Firm); Private Universe Project in Mathematics.;,English,video_vhs,,"Cambridge, MA : Smithsonian Institution, Astrophysics Observatory, Science Media Group",2001.0,,,2012-08-24 07:14
160007554,Geometry : castles and shadows,Andee Rubin; Harvard-Smithsonian Center for Astrophysics.; Massachusetts Corporation for Educational Telecommunications.; Annenberg/CPB.;,English,video_digital,,"S. Burlington, Vt. : Annenberg/CPB",1997.0,,,2012-08-24 07:14
160006159,"Design, construction, and technology",Mitchel Resnick; Harvard Smithsonian Center for Astrophysics.; Annenberg/CPB.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",1999.0,,,2012-08-24 07:14
160006210,The International picture,William H Schmidt; Harvard Smithsonian Center for Astrophysics.; Annenberg/CPB.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",1999.0,,,2012-08-24 07:14
160005985,Conceptual thinking,Joseph Donald Novak; Harvard Smithsonian Center for Astrophysics.; Annenberg/CPB.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",1999.0,,,2012-08-24 07:14
44400754,In search of the novel : Professional development workshop,"Annenberg/CPB Project.; Smithsonian Astrophysical Observatory.; Harvard-Smithsonian Center for Astrophysics.; Educational Film Center (Annandale, Va.);",English,video_vhs,,"Cambridge, Mass : Smithsonian Astrophysical Observatory, Harvard-Smithsonian Center for Astrophysics",1999.0,,,2012-08-24 07:14
160006036,Inquiry,Hubert M Dyasi; Harvard Smithsonian Center for Astrophysics.; Annenberg/CPB.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",1999.0,,,2012-08-24 07:14
29925199,Robotic observatories : present and future,Sallie L Baliunas; John L Richard; Harvard-Smithsonian Center for Astrophysics.; Fairborn Observatory.; International Amateur-Professional Photoelectric Photometry (Organization);,English,book,,"Mesa, Ariz. : Fairborn Press",1991.0,,,2012-08-24 07:14
55696418,Plant life cycles,Clive Grainger; Annenberg/CPB.; Harvard-Smithsonian Center for Astrophysics. Science Media Group.;,English,video_vhs,,"Cambridge, Mass. : Science Media Group of the Harvard-Smithsonian Center for Astrophysics : Annenberg/CPB",2004.0,,,2012-08-24 07:14
160006505,Learning to listen,Wynne Harlen; Harvard-Smithsonian Center for Astrophysics.; Annenberg/CPB.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2000.0,,,2012-08-24 07:14
160040113,Data : posing questions and finding answers,"Erickson, Tim.; Harvard-Smithsonian Center for Astrophysics.; Massachusetts Corporation for Educational Telecommunications.; Annenberg/CPB.;",English,video_digital,,"S. Burlington, Vt. : Annenberg/CPB",1997.0,,,2012-08-24 07:14
212375241,Unstoppable solar cycles,Rie Oldenburg;  Ingibjörg Sólrún Gísladóttir; Willie Soon; David R Legates; Idea Channel (Firm);,English,video_dvd,,[United States : s.n,2007.0,,,2012-08-24 07:14
160006295,Mathematics : a community focus,Marta Civil; Harvard-Smithsonian Center for Astrophysics.; Annenberg/CPB.;,English,video_digital,,"South Burlington, Vt. : Annenberg/CPB",2000.0,,,2012-08-24 07:14
